Name,Symbol,Chain,Category,TVL,Mkt_Cap,MC/TVL,Cir_Supply,Total_Supply,Max_Supply,Cir_Ratio,Price0,Price1,Return,Earning_Level
Maker,MKR,Ethereum,Lending,9.75,4.16,0.4267,995239,995239,1005577,1.0000,597.71,4191.43,7.01,2
Compound,COMP,Ethereum,Lending,8.89,3.32,0.3735,5075624,10000000,10000000,0.5076,144.95,651.10,4.49,2
Aave,AAVE,Ethereum,Lending,7.41,4.96,0.6694,12488046,16000000,16000000,0.7805,87.12,403.68,4.63,2
Venus,XVS,BSC,Lending,4.79,0.68,0.1420,9632688,30000000,30000000,0.3211,3.67,70.34,19.17,3
Uniswap,UNI,Ethereum,Dexes,8.83,19.88,2.2514,523384244,1000000000,1000000000,0.5234,5.17,38.03,7.36,2
Curve Finance,CRV,Ethereum,Dexes,6.57,0.76,0.1157,273444536,1477184198,3303030299,0.1851,0.64,2.82,4.41,2
SushiSwap,SUSHI,Ethereum,Dexes,4.36,1.55,0.3555,127244443,214097742,250000000,0.5943,3.15,12.30,3.90,1
Balancer,BAL,Ethereum,Dexes,2.79,0.37,0.1326,6943831,35725000,100000000,0.1944,14.31,52.94,3.70,1
PancakeSwap,CAKE,BSC,Dexes,8.35,5.26,0.6299,161806221,161806221,161806221,1.0000,0.64,32.27,50.42,3
DODO,DODO,BSC,Dexes,0.13,0.36,2.7692,110551965,1000000000,1000000000,0.1106,0.19,3.23,17.00,3
Mdex,MDX,Heco,Dexes,4.64,0.54,0.1164,191305710,1000000000,1000000000,0.1913,3.26,2.81,0.86,1
Synthetix,SNX,Ethereum,Derivatives,1.87,1.83,0.9786,114841533,215258834,212424133,0.5335,8.19,15.86,1.94,1
Nexus Mutual,NXM,Ethereum,Derivatives,0.41,0.61,1.4878,6376985,6924022,6924022,0.9210,25.41,95.42,3.76,1
BarnBridge,BOND,Ethereum,Derivatives,0.03,0.08,2.6667,2284812,10000000,10000000,0.2285,26.22,38.61,1.47,1
Polygon,MATIC,Ethereum,Payments,2.40,2.95,1.2292,5188388130,10000000000,10000000000,0.5188,0.01,0.55,55.00,3
RenVM,REN,Ethereum,Payments,0.65,0.85,1.3077,997163051,999999633,1000000000,0.9972,0.34,0.85,2.50,1
Badger DAO,BADGER,Ethereum,Yield,1.00,0.26,0.2600,8603194,21000000,21000000,0.4097,6.44,30.52,4.74,2
Harvest Finance,FARM,Ethereum,Yield,0.54,0.11,0.2037,536315,563624,690420,0.9515,74.98,205.62,2.74,1
Alpha Lab,ALPHA,BSC,Yield,0.92,0.35,0.3804,250153035,1000000000,1000000000,0.2502,0.20,1.38,6.90,2
Pancake Bunny,BUNNY,BSC,Yield,5.53,0.22,0.0398,510232,910789,1000000,0.5602,4.74,438.44,92.50,3
